Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","ARE","Émirats arabes unis","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","7089.487","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ECU","Équateur","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","14535.739","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ERI","Érythrée","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3062.779","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ESP","Espagne","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","46068.811","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","EST","Estonie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1340.073","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","SWZ","Eswatini","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1049.945","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","USA","États-Unis d'Amérique","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","303486.012","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ETH","Éthiopie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","82916.235","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","RUS","Fédération de Russie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","143248.764","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","FJI","Fidji","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","845.361","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","FIN","Finlande","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","5319.449","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","FRA","France","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","62209.207","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GAB","Gabon","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1518.54","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GMB","Gambie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1689.285","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GEO","Géorgie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4142.655","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GHA","Ghana","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","23563.825","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GIB","Gibraltar","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","33.559","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GRC","Grèce","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","11040.309","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GRD","Grenade","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","105.456","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GRL","Groenland","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","56.841","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GLP","Guadeloupe","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","403.965","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GUM","Guam","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","159.036","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GTM","Guatemala","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","14006.428","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GIN","Guinée","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","9738.792","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GNQ","Guinée équatoriale","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","860.84","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GNB","Guinée-Bissau","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1446.936","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GUY","Guyana","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","746.817","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","GUF","Guyane française","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","221.996","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","HTI","Haïti","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","9646.58","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","HND","Honduras","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","7980.955","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","HUN","Hongrie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","9991.867","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","IMN","Île de Man","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","83.508","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","CHA","Îles Anglo-Normandes","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","156.433","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","CYM","Îles Caïmanes","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","53.836","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","COK","Îles Cook","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","18.818","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","FLK","Îles Falkland (Malvinas)","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2.932","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","FRO","Îles Féroé","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","47.82","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MNP","Îles Mariannes du Nord","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","54.625","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MHL","Îles Marshall","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","56.174","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","SLB","Îles Salomon","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","503.36","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","TCA","Îles Turques-et-Caïques","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","31.202","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","VIR","Îles Vierges américaines","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","106.756","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","VGB","Îles Vierges britanniques","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","26.097","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","WLF","Îles Wallis-et-Futuna","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","13.578","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","IND","Inde","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1200669.765","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","IDN","Indonésie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","235469.762","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","IRN","Iran (République islamique d')","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","72120.604","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","IRQ","Iraq","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","28385.746","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","IRL","Irlande","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4415.872","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ISL","Islande","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","310.856","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ISR","Israël","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","7020.836","X","Sources internationales sûres",""
